YEAR,STATE,Fuel_Type,Registrations
2002,UTTAR PRADESH,PETROL/CNG,"1,424"
2002,WEST BENGAL,PETROL/CNG,17
2002,ANDAMAN & NICOBAR ISLAND,PETROL/ETHANOL,0
2002,ANDHRA PRADESH,PETROL/ETHANOL,0
2002,ARUNACHAL PRADESH,PETROL/ETHANOL,0
2002,ASSAM,PETROL/ETHANOL,0
2002,BIHAR,PETROL/ETHANOL,0
2002,CHANDIGARH,PETROL/ETHANOL,0
2002,CHHATTISGARH,PETROL/ETHANOL,0
2002,DELHI,PETROL/ETHANOL,0
2002,GOA,PETROL/ETHANOL,0
