year,month,Fuel_Type,value,fuel_category
2005,8,CNG ONLY,74.0,CNG/LPG
2005,8,DIESEL,32272.0,Diesel
2005,8,DIESEL/HYBRID,5.0,Diesel
2005,8,ELECTRIC(BOV),24.0,Electric (EV)
2005,8,LNG,0.0,Alternative Fuels
2005,8,LPG ONLY,86.0,CNG/LPG
2005,8,METHANOL,1.0,Alternative Fuels
2005,8,NOT APPLICABLE,2521.0,Unknown/Other
2005,8,PETROL,47308.0,Petrol
2005,8,PETROL/CNG,5315.0,Petrol
2005,8,PETROL/HYBRID,0.0,Petrol
2005,8,PETROL/LPG,3661.0,Petrol
2005,8,SOLAR,1.0,Alternative Fuels
2005,9,CNG ONLY,56.0,CNG/LPG
2005,9,DIESEL,34886.0,Diesel
2005,9,DIESEL/HYBRID,2.0,Diesel
2005,9,ELECTRIC(BOV),21.0,Electric (EV)
2005,9,LNG,0.0,Alternative Fuels
2005,9,LPG ONLY,119.0,CNG/LPG
2005,9,METHANOL,0.0,Alternative Fuels
2005,9,NOT APPLICABLE,3286.0,Unknown/Other
2005,9,PETROL,48988.0,Petrol
2005,9,PETROL/CNG,5037.0,Petrol
2005,9,PETROL/HYBRID,0.0,Petrol
2005,9,PETROL/LPG,3811.0,Petrol
2005,9,SOLAR,3.0,Alternative Fuels
2005,10,CNG ONLY,78.0,CNG/LPG
2005,10,DIESEL,35608.0,Diesel
2005,10,DIESEL/HYBRID,1.0,Diesel
2005,10,ELECTRIC(BOV),22.0,Electric (EV)
2005,10,LNG,0.0,Alternative Fuels
2005,10,LPG ONLY,97.0,CNG/LPG
2005,10,METHANOL,0.0,Alternative Fuels
2005,10,NOT APPLICABLE,3331.0,Unknown/Other
2005,10,PETROL,54318.0,Petrol
2005,10,PETROL/CNG,7107.0,Petrol
2005,10,PETROL/HYBRID,0.0,Petrol
2005,10,PETROL/LPG,4212.0,Petrol
2005,10,SOLAR,1.0,Alternative Fuels
2005,11,CNG ONLY,50.0,CNG/LPG
2005,11,DIESEL,33026.0,Diesel
2005,11,DIESEL/HYBRID,1.0,Diesel
2005,11,ELECTRIC(BOV),20.0,Electric (EV)
2005,11,LNG,1.0,Alternative Fuels
2005,11,LPG ONLY,106.0,CNG/LPG
2005,11,METHANOL,0.0,Alternative Fuels
2005,11,NOT APPLICABLE,2999.0,Unknown/Other
2005,11,PETROL,46971.0,Petrol
2005,11,PETROL/CNG,5225.0,Petrol
2005,11,PETROL/HYBRID,0.0,Petrol
2005,11,PETROL/LPG,3823.0,Petrol
2005,11,SOLAR,2.0,Alternative Fuels
2005,12,CNG ONLY,55.0,CNG/LPG
2005,12,DIESEL,35853.0,Diesel
2005,12,DIESEL/HYBRID,0.0,Diesel
2005,12,ELECTRIC(BOV),21.0,Electric (EV)
2005,12,LNG,0.0,Alternative Fuels
2005,12,LPG ONLY,88.0,CNG/LPG
2005,12,METHANOL,0.0,Alternative Fuels
2005,12,NOT APPLICABLE,3530.0,Unknown/Other
2005,12,PETROL,49177.0,Petrol
2005,12,PETROL/CNG,5359.0,Petrol
2005,12,PETROL/HYBRID,1.0,Petrol
